key,pose,rep,seed,md_job_id,n_frames,verdict_md,qualifies_corrected_gate,eq_begin_end_delta_a,top5_persistence_eq,in_pocket_frac_eq,com_final_a,n_frames_fe,delta_g_mean_kcal_per_mol,delta_g_sem_kcal_per_mol,delta_g_stddev_kcal_per_mol,nonbonded_mean,solvation_mean
pose0_rep1,0,1,20260617,6d53c1af-e0f9-4bab-a065-1a7ab62fb7b9,201,drifting,True,0.08279245699865023,1.0,1.0,0.3930258994432994,,-56.50617597915888,0.5800470675466859,4.493025265249527,-105.3567377029211,48.85054814807396
pose0_rep2,0,2,20260618,127ee13d-b945-4520-a2a2-d778073c780d,201,drifting,True,0.0692566775725334,0.9966666666666666,1.0,1.8619743807354343,,-51.76808754036058,0.4610061248747548,3.5709380882790844,-97.84005721106294,46.071926283319385
pose0_rep3,0,3,20260619,dbd62fa3-3f64-4895-abd1-f1ca86feba74,201,drifting,True,0.21892974809725985,0.9833333333333333,1.0,1.9619871459087448,,-41.653992062884896,0.39576734489991433,3.0656006715401904,-74.64973319045451,32.99575180652805
pose0_rep4,0,4,20260620,c2380fc0-6e6d-4284-93ad-de8436a13b60,201,drifting,True,0.06584716853763162,1.0,1.0,0.9147914205727229,,-58.27642202000515,0.5255904114861356,4.071205821224213,-109.53678493830526,51.26037281380386
pose0_rep5,0,5,20260621,deaec49f-eade-47e9-9c1e-63e8f44baf8c,201,drifting,True,0.02988851897369016,0.9966666666666666,1.0,0.6268495109379497,,-51.25648734881336,0.542609690244323,4.203036587614057,-97.25263731155572,45.9961633420211
pose0_rep6,0,6,20260622,fad90b00-0d00-4c85-a23c-c3058eb39bee,201,unstable,False,0.6745756894069999,0.9933333333333334,1.0,0.6664658993875489,,-55.08328377081123,0.4950778427997297,3.8348564804792935,-102.25814163205025,47.17490006260052
pose0_rep7,0,7,20260623,65741d10-bf85-4fb4-8e9b-67b6bd92b119,201,unstable,False,1.4649017924843015,0.9933333333333333,1.0,1.539463398736501,,-39.266054019025084,0.416653449745952,3.227383744011882,-80.4433332787926,41.17722841243608
pose0_rep8,0,8,20260624,e45b2dd3-678f-4c00-b829-6e77dd727750,201,unstable,False,0.6795696855857054,0.9833333333333333,1.0,1.1015743814476704,,-45.443817087025494,0.6753791741915821,5.231464588038631,-84.43418474820767,38.990347122298495
pose1_rep1,1,1,20261617,3c4d38e6-9a3e-48d5-92e0-36ef1743626e,201,drifting,True,0.3221033710416037,1.0,1.0,1.5028645824700257,,-50.96981885421182,0.4115203594011834,3.1876229971721486,-105.4945395006433,54.52474884730391
pose1_rep2,1,2,20261618,4aaa8ab8-1e10-41e7-ba5a-09b207fe1d31,201,drifting,True,0.1352303821628733,1.0,1.0,1.2871718449355727,,-50.47421211797803,0.4424149052460181,3.426931120263521,-110.60574078625456,60.131588430073826
pose1_rep3,1,3,20261619,9ac9849a-1a69-4f84-ac60-ce930ee0de06,201,drifting,True,0.02155909003402945,0.9966666666666666,1.0,1.138888681096716,,-50.52684395065666,0.36729829512621825,2.8450803602284402,-107.82830353273567,57.301469746914066
pose1_rep4,1,4,20261620,09b77a40-d6b1-42a5-950d-ac5e8b806faf,201,stable,True,0.10195337258556436,1.0,1.0,0.7354856152195958,,-58.977425304365084,0.4104736342979646,3.1795150993865007,-124.12804326227077,65.15055462693553
pose1_rep5,1,5,20261621,536ba129-8d2a-4cef-9183-cde12befe29c,201,drifting,True,0.04327298403543223,1.0,1.0,0.24525133246389663,,-57.619602046568076,0.6661893148304293,5.160280243519165,-126.87224112434669,69.25258912897688
pose1_rep6,1,6,20261622,d596130c-8062-4c15-bb7c-d69e4ec2c9fc,201,drifting,True,0.24463327110316646,1.0,1.0,1.1912459599271181,,-47.68083294173088,0.39114157315586623,3.02976959768408,-98.7011316420966,51.02032965373517
pose1_rep7,1,7,20261623,849118c3-6842-4ac4-b46e-ff89d976fc68,201,drifting,True,0.06023408876410752,1.0,1.0,0.8632106593330469,,-54.0682435077731,0.5278827207571356,4.088961972486093,-110.77080201898892,56.702563835930434
pose1_rep8,1,8,20261624,289b578e-fcf7-43ac-859c-590e5acfc9f7,201,drifting,True,0.12225674498261929,1.0,1.0,1.1228868909352803,,-44.97119244082953,0.3865150504211879,2.9939327066795616,-108.72822770643285,63.7570302743363
pose2_rep1,2,1,20262617,f95fe87d-46f0-4d81-a83b-f9291e7220dc,201,drifting,True,0.11258227661844078,0.9966666666666666,1.0,1.2285877992170802,,-45.00343427995568,0.4460255061183536,3.454898714360236,-99.98915445216122,54.98570536342956
pose2_rep2,2,2,20262618,c366e126-47b6-49f2-8154-a5f70d81524b,201,drifting,True,0.015610219446086981,0.9966666666666666,1.0,0.7518649173289349,,-50.550932252651506,0.39872296273390934,3.088494788837823,-105.92574693558535,55.374811093165896
pose2_rep3,2,3,20262619,7b459365-af58-4cf4-963f-bf6d8d2ce277,201,drifting,True,0.3501312331692068,0.9966666666666666,1.0,0.5207342675077834,,-45.0962854394794,0.4436418099927322,3.436434683566334,-108.89526063212305,63.79899584779355
pose2_rep4,2,4,20262620,4e12de8c-cb73-4ba5-b1f9-f05da16c588f,201,drifting,True,0.11039380868549897,1.0,1.0,0.683889429612464,,-51.16428591659654,0.3597724726356352,2.786785589883358,-111.63139618191634,60.46712437531786
pose2_rep5,2,5,20262621,1a820507-771b-4f71-98c6-78bad12a4b5d,201,stable,True,0.021788594965565178,0.9933333333333334,1.0,0.8196511600676687,,-47.6601727661262,0.6356306995463413,4.923574227362301,-115.1735700737966,67.51341203681827
pose2_rep6,2,6,20262622,ebe9f241-4fa5-44c0-9bd6-2b506f573512,201,stable,True,0.1797635096741823,0.9866666666666667,1.0,0.48114931359324487,,-41.46167966267424,0.517027386917438,4.004876918128752,-87.34499025546559,45.88334085029196
pose2_rep7,2,7,20262623,34c5cbdf-ed73-4e77-ba37-0c37bb124598,201,drifting,False,0.4068448387307104,1.0,1.0,0.4927019128212667,,-49.51856510821258,0.3986745135045194,3.088119502720695,-102.93905239791509,53.420502354572236
pose2_rep8,2,8,20262624,61af92c2-e640-4b65-a517-e31885d51478,201,drifting,True,0.1733278738127435,0.9833333333333332,1.0,0.4603956691026441,,-54.5319302678291,0.49907068387659986,3.8657848944688356,-115.8769210081447,61.34501244266035
